fname,label
02ad476f.wav,Squeak Fart Laughter
02af55f6.wav,Acoustic_guitar Electric_piano Double_bass
02c3af87.wav,Trumpet Hi-hat Saxophone
02c46d0b.wav,Cello Double_bass Acoustic_guitar
02c6f112.wav,Cello Violin_or_fiddle Flute
02cb4d01.wav,Cello Bass_drum Double_bass
02d5dc55.wav,Bass_drum Finger_snapping Knock
02d9b93c.wav,Clarinet Flute Acoustic_guitar
02df943b.wav,Bass_drum Knock Double_bass
02e99b5e.wav,Cello Double_bass Saxophone
02f8d82c.wav,Trumpet Saxophone Squeak
02fb6c5b.wav,Computer_keyboard Knock Telephone
0300b76b.wav,Acoustic_guitar Telephone Laughter
0303e3a5.wav,Bass_drum Knock Microwave_oven
03079bb2.wav,Computer_keyboard Tearing Scissors
030bacc6.wav,Drawer_open_or_close Knock Microwave_oven
030db750.wav,Telephone Chime Squeak
0310089a.wav,Gong Telephone Finger_snapping
0316ff65.wav,Bass_drum Finger_snapping Gunshot_or_gunfire
03199dbe.wav,Cello Double_bass Saxophone
031b6d8f.wav,Flute Clarinet Saxophone
03319789.wav,Cough Bark Saxophone
033a0cbe.wav,Knock Bass_drum Drawer_open_or_close
0345130c.wav,Trumpet Applause Hi-hat
034b1b41.wav,Flute Harmonica Oboe
034c1c69.wav,Flute Saxophone Clarinet
035e420f.wav,Hi-hat Tearing Squeak
036c1697.wav,Acoustic_guitar Electric_piano Writing
036f228c.wav,Clarinet Flute Saxophone
03786473.wav,Clarinet Chime Squeak
037e7b6f.wav,Flute Saxophone Cello
0381efd3.wav,Double_bass Cello Acoustic_guitar
038397e9.wav,Gunshot_or_gunfire Writing Microwave_oven
03858091.wav,Bass_drum Knock Gunshot_or_gunfire
03888259.wav,Double_bass Electric_piano Knock
0394e0d4.wav,Hi-hat Shatter Snare_drum
03953467.wav,Flute Saxophone Oboe
039d36e9.wav,Cello Saxophone Violin_or_fiddle
03ab8828.wav,Fireworks Gunshot_or_gunfire Knock
03af84e5.wav,Clarinet Oboe Flute
03b7faf1.wav,Tearing Writing Shatter
03c1c5f4.wav,Flute Clarinet Saxophone
03c5bfbb.wav,Gunshot_or_gunfire Fireworks Fart
03d2bdca.wav,Clarinet Cello Flute
03d5a89c.wav,Flute Saxophone Clarinet
03e1e393.wav,Laughter Cough Cello
03e2ecd9.wav,Electric_piano Acoustic_guitar Gong
03e860b2.wav,Trumpet Saxophone Oboe
03f2e21f.wav,Cello Saxophone Double_bass
03f39877.wav,Hi-hat Finger_snapping Scissors
03fafd5b.wav,Double_bass Electric_piano Knock
03fccc98.wav,Bass_drum Finger_snapping Knock
0402129f.wav,Snare_drum Fireworks Cello
040258a9.wav,Cello Saxophone Double_bass
041521b0.wav,Bass_drum Knock Gunshot_or_gunfire
04154da3.wav,Bass_drum Computer_keyboard Knock
0419676b.wav,Clarinet Cello Flute
041983cd.wav,Acoustic_guitar Double_bass Snare_drum
04199401.wav,Fart Bus Tearing
041c68ec.wav,Violin_or_fiddle Harmonica Cello
041c7581.wav,Cello Flute Double_bass
041eed83.wav,Fireworks Computer_keyboard Drawer_open_or_close
0422b811.wav,Cough Telephone Burping_or_eructation
0448c553.wav,Bass_drum Knock Computer_keyboard
0448d513.wav,Cello Saxophone Flute
044aef8a.wav,Finger_snapping Telephone Tearing
045931e0.wav,Bark Telephone Harmonica
0459ee65.wav,Clarinet Flute Squeak
045c6122.wav,Computer_keyboard Writing Gunshot_or_gunfire
045c9ea8.wav,Clarinet Flute Saxophone
04605af5.wav,Hi-hat Scissors Squeak
046250d3.wav,Cello Acoustic_guitar Double_bass
046486df.wav,Computer_keyboard Tearing Harmonica
0468ad68.wav,Flute Saxophone Cello
046e86b5.wav,Hi-hat Finger_snapping Gong
047b5857.wav,Acoustic_guitar Cello Electric_piano
047bf19c.wav,Flute Clarinet Saxophone
047e0d21.wav,Trumpet Clarinet Squeak
048470a5.wav,Squeak Fart Laughter
04a301e9.wav,Trumpet Saxophone Violin_or_fiddle
04ab46a9.wav,Cello Saxophone Double_bass
04ab4e22.wav,Tambourine Keys_jangling Hi-hat
04b031df.wav,Hi-hat Finger_snapping Snare_drum
04b249bd.wav,Fireworks Gunshot_or_gunfire Drawer_open_or_close
04b7ef77.wav,Flute Saxophone Oboe
04bdae57.wav,Hi-hat Snare_drum Gong
04c2ed9c.wav,Flute Clarinet Oboe
04d15abd.wav,Trumpet Hi-hat Saxophone
04dbef05.wav,Cello Double_bass Saxophone
04dddbf5.wav,Bass_drum Computer_keyboard Tearing
04ecda67.wav,Knock Computer_keyboard Bass_drum
04ed8568.wav,Bass_drum Finger_snapping Knock
04f232c6.wav,Knock Double_bass Bass_drum
04f46a27.wav,Bass_drum Knock Tearing
04f85a49.wav,Double_bass Cello Bus
04fb8280.wav,Acoustic_guitar Gong Violin_or_fiddle
0509ce2f.wav,Hi-hat Glockenspiel Acoustic_guitar
0520faf4.wav,Clarinet Telephone Gong
05296d2a.wav,Clarinet Cello Saxophone
0529d428.wav,Bass_drum Knock Microwave_oven
0539bb41.wav,Laughter Telephone Chime
053a5fc6.wav,Hi-hat Snare_drum Gong
053b4c56.wav,Shatter Tearing Fart
053e7bb5.wav,Snare_drum Violin_or_fiddle Gunshot_or_gunfire
054508f3.wav,Bass_drum Knock Oboe
0548124b.wav,Cello Double_bass Knock
054dbf39.wav,Oboe Clarinet Meow
054eeab6.wav,Bark Knock Writing
05562991.wav,Flute Saxophone Trumpet
0558af35.wav,Gong Squeak Telephone
0568741b.wav,Acoustic_guitar Clarinet Telephone
05723b3a.wav,Cello Saxophone Drawer_open_or_close
057425e6.wav,Fart Gunshot_or_gunfire Squeak
0576d7ba.wav,Fart Squeak Writing
057c2963.wav,Clarinet Flute Oboe
0586f0e0.wav,Meow Squeak Telephone
058a0e87.wav,Bass_drum Tearing Knock
058e63ea.wav,Tambourine Keys_jangling Shatter
0594d8c2.wav,Gong Hi-hat Finger_snapping
059d5420.wav,Saxophone Oboe Flute
059ffef4.wav,Saxophone Acoustic_guitar Gong
05a15a14.wav,Flute Clarinet Cello
05ad10fb.wav,Acoustic_guitar Electric_piano Gong
05ae0583.wav,Gong Hi-hat Meow
05c2056b.wav,Flute Saxophone Cello
05c8453f.wav,Fireworks Double_bass Gunshot_or_gunfire
05cae96f.wav,Computer_keyboard Writing Tearing
05cc88d2.wav,Finger_snapping Glockenspiel Fireworks
05ccb0ff.wav,Acoustic_guitar Electric_piano Writing
05f3c709.wav,Gong Hi-hat Gunshot_or_gunfire
05f40290.wav,Cello Saxophone Double_bass
05fc58ee.wav,Gunshot_or_gunfire Knock Bass_drum
05fca090.wav,Flute Saxophone Laughter
060428bd.wav,Acoustic_guitar Electric_piano Gong
0608d8b7.wav,Cello Double_bass Fireworks
06123abf.wav,Electric_piano Acoustic_guitar Telephone
062c3119.wav,Clarinet Flute Cello
062f9f91.wav,Cello Bus Fireworks
06308a6b.wav,Cello Double_bass Fireworks
0630cf5e.wav,Acoustic_guitar Electric_piano Telephone
0638da1a.wav,Snare_drum Hi-hat Fireworks
063d81f8.wav,Clarinet Flute Cello
06718b47.wav,Trumpet Saxophone Applause
0671a98a.wav,Trumpet Oboe Saxophone
06775f3c.wav,Writing Computer_keyboard Squeak
0678a571.wav,Trumpet Oboe Saxophone
067d6a04.wav,Flute Saxophone Harmonica
06827666.wav,Acoustic_guitar Oboe Saxophone
0682b1f6.wav,Telephone Cowbell Harmonica
0689d2f6.wav,Bass_drum Microwave_oven Gunshot_or_gunfire
069b1efa.wav,Flute Saxophone Laughter
069b4384.wav,Bass_drum Knock Drawer_open_or_close
069e4fb3.wav,Bus Cello Fireworks
06b27161.wav,Flute Cello Drawer_open_or_close
06bb374e.wav,Fart Tearing Writing
06bd2694.wav,Knock Bass_drum Drawer_open_or_close
06c33b21.wav,Chime Telephone Tambourine
06c535eb.wav,Computer_keyboard Squeak Telephone
06d4796b.wav,Flute Oboe Clarinet
06dcd7a0.wav,Squeak Computer_keyboard Writing
06e1d866.wav,Scissors Shatter Computer_keyboard
06e4a7a3.wav,Saxophone Flute Violin_or_fiddle
06e4c394.wav,Violin_or_fiddle Saxophone Flute
06ee2e39.wav,Trumpet Squeak Saxophone
06faccbf.wav,Laughter Telephone Fart
06fbe4da.wav,Knock Double_bass Cello
070096e9.wav,Flute Clarinet Oboe
070204c5.wav,Finger_snapping Hi-hat Bass_drum
07038d45.wav,Squeak Keys_jangling Telephone
07063bc9.wav,Keys_jangling Scissors Writing
070fea08.wav,Flute Clarinet Saxophone
0716b51d.wav,Cello Double_bass Knock
071b2b62.wav,Acoustic_guitar Bus Double_bass
071e7724.wav,Knock Bass_drum Drawer_open_or_close
071f4c75.wav,Flute Saxophone Oboe
0722054b.wav,Clarinet Cello Gong
07256457.wav,Trumpet Oboe Squeak
0730b080.wav,Computer_keyboard Telephone Laughter
0736d78e.wav,Fart Tearing Writing
073d6755.wav,Acoustic_guitar Knock Electric_piano
0745def5.wav,Flute Saxophone Acoustic_guitar
0751e141.wav,Hi-hat Shatter Squeak
0755629f.wav,Knock Drawer_open_or_close Computer_keyboard
075591e8.wav,Bass_drum Knock Cello
0760a9e7.wav,Computer_keyboard Telephone Finger_snapping
076176f4.wav,Finger_snapping Glockenspiel Fireworks
0761d26b.wav,Applause Trumpet Fireworks
07642d1b.wav,Acoustic_guitar Electric_piano Double_bass
07682400.wav,Oboe Flute Saxophone
076d3b6c.wav,Trumpet Saxophone Hi-hat
0776b083.wav,Hi-hat Finger_snapping Gong
07776603.wav,Trumpet Saxophone Hi-hat
0779cb34.wav,Squeak Chime Laughter
077a7711.wav,Gunshot_or_gunfire Finger_snapping Tearing
0790d4f8.wav,Finger_snapping Hi-hat Bass_drum
079367a7.wav,Flute Saxophone Trumpet
07954767.wav,Finger_snapping Bass_drum Gunshot_or_gunfire
07989042.wav,Trumpet Saxophone Gong
0799369e.wav,Flute Clarinet Saxophone
079faac8.wav,Harmonica Flute Meow
07a8ddbf.wav,Hi-hat Shatter Keys_jangling
07ab0dcf.wav,Cello Saxophone Double_bass
07b0fe34.wav,Shatter Tearing Squeak
07b9c04c.wav,Bass_drum Knock Computer_keyboard
07bac4d1.wav,Squeak Shatter Scissors
07c4fd98.wav,Acoustic_guitar Clarinet Telephone
07c8463e.wav,Burping_or_eructation Cough Harmonica
07c95625.wav,Squeak Meow Laughter
07cf422e.wav,Cello Double_bass Bus
07cffb09.wav,Electric_piano Acoustic_guitar Violin_or_fiddle
07d5cca9.wav,Saxophone Oboe Clarinet
07d62787.wav,Trumpet Saxophone Flute
07dcd326.wav,Gunshot_or_gunfire Bus Fireworks
07eef0c0.wav,Cello Saxophone Double_bass
07f06f30.wav,Bass_drum Knock Computer_keyboard
07f1dab7.wav,Tambourine Fireworks Applause
07fbde49.wav,Trumpet Gong Saxophone
0802d9ec.wav,Trumpet Oboe Flute
080b53cc.wav,Acoustic_guitar Electric_piano Violin_or_fiddle
081fbfd3.wav,Fart Tearing Shatter
082cd9fe.wav,Acoustic_guitar Double_bass Electric_piano
083bba3c.wav,Oboe Clarinet Gong
0841041b.wav,Electric_piano Acoustic_guitar Cello
08426322.wav,Keys_jangling Scissors Tearing
0844d331.wav,Oboe Finger_snapping Clarinet
08593822.wav,Oboe Saxophone Flute
085a9c5b.wav,Cello Saxophone Laughter
087248e6.wav,Flute Saxophone Cello
087ed746.wav,Flute Saxophone Cello
08854d8c.wav,Bass_drum Computer_keyboard Oboe
088bb565.wav,Cello Double_bass Flute
08904a43.wav,Glockenspiel Acoustic_guitar Electric_piano
08911c36.wav,Snare_drum Hi-hat Finger_snapping
08941c53.wav,Bass_drum Knock Computer_keyboard
0894d11f.wav,Hi-hat Finger_snapping Scissors
089f1097.wav,Gunshot_or_gunfire Knock Drawer_open_or_close
089f44b1.wav,Fart Fireworks Gunshot_or_gunfire
08a82608.wav,Clarinet Oboe Saxophone
08be795d.wav,Shatter Tambourine Chime
08c9a7f7.wav,Bass_drum Finger_snapping Computer_keyboard
08d23bb8.wav,Cello Fireworks Gunshot_or_gunfire
08d9501a.wav,Snare_drum Gunshot_or_gunfire Trumpet
08ddd56e.wav,Computer_keyboard Tearing Writing
08e27974.wav,Gunshot_or_gunfire Fireworks Shatter
08ecc0a1.wav,Bus Fart Fireworks
08f4b16b.wav,Gunshot_or_gunfire Fireworks Fart
08fcf830.wav,Flute Clarinet Saxophone
0921f1f2.wav,Electric_piano Double_bass Cello
092a73e5.wav,Bass_drum Tearing Knock
092d89a0.wav,Cello Double_bass Electric_piano
093963d5.wav,Cello Saxophone Double_bass
0943fc2d.wav,Bass_drum Finger_snapping Computer_keyboard
09481a4c.wav,Bass_drum Knock Finger_snapping
095428e8.wav,Cello Saxophone Violin_or_fiddle
09553ca1.wav,Bass_drum Knock Electric_piano
095dd27c.wav,Squeak Snare_drum Fireworks
0967cebd.wav,Saxophone Clarinet Flute
0969d9d1.wav,Cello Double_bass Flute
096c3969.wav,Trumpet Hi-hat Squeak
096fd039.wav,Snare_drum Tearing Fart
0976741c.wav,Acoustic_guitar Gong Glockenspiel
097cdef5.wav,Violin_or_fiddle Cello Saxophone
0984ea36.wav,Double_bass Electric_piano Acoustic_guitar
0995f876.wav,Flute Saxophone Clarinet
09983766.wav,Keys_jangling Tambourine Scissors
09a14a8e.wav,Computer_keyboard Writing Knock
09b3e21c.wav,Clarinet Cello Double_bass
09c7044c.wav,Gunshot_or_gunfire Microwave_oven Bus
09c71587.wav,Cello Saxophone Drawer_open_or_close
09c8f697.wav,Bass_drum Knock Finger_snapping
09c9b50b.wav,Saxophone Flute Trumpet
09cba9de.wav,Cello Flute Clarinet
09d0535a.wav,Shatter Snare_drum Hi-hat
09d2d1c0.wav,Saxophone Trumpet Flute
09e5a0ee.wav,Acoustic_guitar Electric_piano Telephone
09e83f2a.wav,Saxophone Trumpet Cello
09eb9ddb.wav,Cello Gong Double_bass
09ec3afd.wav,Bass_drum Knock Gunshot_or_gunfire
09f02a4a.wav,Bus Computer_keyboard Laughter
09f55e64.wav,Clarinet Flute Saxophone
0a001dfe.wav,Laughter Cough Fart
0a00b1a8.wav,Saxophone Trumpet Oboe
0a0b26cc.wav,Bass_drum Tearing Knock
0a23fde2.wav,Hi-hat Squeak Telephone
0a3d6e55.wav,Knock Burping_or_eructation Writing
0a429107.wav,Shatter Keys_jangling Fireworks
0a5cbf90.wav,Acoustic_guitar Gong Telephone
0a5f818e.wav,Laughter Chime Cello
0a6219e5.wav,Cello Double_bass Drawer_open_or_close
0a67826b.wav,Bass_drum Knock Double_bass
0a695221.wav,Fireworks Applause Gunshot_or_gunfire
0a6ecade.wav,Bass_drum Knock Computer_keyboard
0a71e42d.wav,Bass_drum Tearing Knock
0a79ddf7.wav,Telephone Clarinet Gong
0a7c7060.wav,Finger_snapping Telephone Hi-hat
0a7fbd54.wav,Hi-hat Finger_snapping Gong
0a7ff75b.wav,Knock Drawer_open_or_close Fart
0a848902.wav,Gong Flute Chime
0a8b7299.wav,Finger_snapping Telephone Computer_keyboard
0a8d849e.wav,Bass_drum Knock Drawer_open_or_close
0a979caf.wav,Clarinet Flute Telephone
0aaa4d2f.wav,Bass_drum Computer_keyboard Oboe
0aab4d0f.wav,Trumpet Oboe Saxophone
0ab56675.wav,Acoustic_guitar Snare_drum Writing
0ab99db4.wav,Saxophone Violin_or_fiddle Burping_or_eructation
0acc6947.wav,Glockenspiel Finger_snapping Scissors
0ace560e.wav,Clarinet Flute Oboe
0ace703f.wav,Flute Saxophone Cello
0ad916a0.wav,Double_bass Cello Electric_piano
0adf81d5.wav,Bark Gunshot_or_gunfire Trumpet
0ae1945c.wav,Acoustic_guitar Electric_piano Gong
0af843ea.wav,Gunshot_or_gunfire Fireworks Shatter
0b0132c8.wav,Scissors Tearing Shatter
0b0427e2.wav,Finger_snapping Hi-hat Gunshot_or_gunfire
0b07dc21.wav,Clarinet Flute Oboe
0b0df9a0.wav,Knock Bark Telephone
0b157a67.wav,Bass_drum Finger_snapping Tearing
0b232eb1.wav,Bass_drum Knock Double_bass
0b244358.wav,Trumpet Applause Hi-hat
0b273087.wav,Clarinet Flute Telephone
0b278db1.wav,Applause Computer_keyboard Bark
0b2f18fa.wav,Bus Knock Drawer_open_or_close
0b321436.wav,Bass_drum Knock Gunshot_or_gunfire
0b32ee85.wav,Knock Drawer_open_or_close Fireworks
0b38f744.wav,Hi-hat Trumpet Gunshot_or_gunfire
0b3c86c9.wav,Laughter Cough Computer_keyboard
0b430780.wav,Gunshot_or_gunfire Fireworks Fart
0b495758.wav,Fart Squeak Tearing
0b4bb93c.wav,Tambourine Keys_jangling Hi-hat
0b50d4c8.wav,Acoustic_guitar Electric_piano Double_bass
0b58b074.wav,Shatter Snare_drum Violin_or_fiddle
0b58c7e9.wav,Cello Acoustic_guitar Double_bass
0b5fb43f.wav,Cello Snare_drum Fireworks
0b62b09f.wav,Clarinet Flute Saxophone
0b752229.wav,Squeak Clarinet Laughter
0b763e4f.wav,Trumpet Applause Saxophone
0b79fdea.wav,Tambourine Keys_jangling Shatter
0b7b694c.wav,Bass_drum Cello Violin_or_fiddle
0b8844bd.wav,Acoustic_guitar Violin_or_fiddle Gong
0b8b79ad.wav,Chime Laughter Keys_jangling
0b8dfa34.wav,Clarinet Oboe Saxophone
0b9415cd.wav,Clarinet Telephone Flute
0ba34dec.wav,Clarinet Flute Cello
0baa37ed.wav,Tearing Fireworks Gunshot_or_gunfire
0bb6a21d.wav,Violin_or_fiddle Cello Snare_drum
0bb807c0.wav,Oboe Violin_or_fiddle Saxophone
0bc52ede.wav,Acoustic_guitar Telephone Gong
0bc8ad78.wav,Finger_snapping Hi-hat Scissors
0bc938fb.wav,Cello Double_bass Acoustic_guitar
0bd5adf9.wav,Telephone Chime Laughter
0bdc064a.wav,Flute Saxophone Trumpet
0be5aa79.wav,Gunshot_or_gunfire Microwave_oven Bass_drum
0be7620d.wav,Bass_drum Knock Finger_snapping
0beb8325.wav,Snare_drum Violin_or_fiddle Saxophone
0bec9842.wav,Clarinet Flute Cello
0befc5cb.wav,Laughter Saxophone Cough
0bf9fbd3.wav,Knock Bass_drum Gunshot_or_gunfire
0c13feb9.wav,Acoustic_guitar Cello Telephone
0c1bb3e9.wav,Flute Saxophone Meow
0c1fbece.wav,Trumpet Applause Saxophone
0c27bc2d.wav,Acoustic_guitar Electric_piano Telephone
0c31ca4c.wav,Flute Saxophone Clarinet
0c3b5861.wav,Clarinet Cello Flute
0c3dfac0.wav,Clarinet Cello Flute
0c40bbb0.wav,Bass_drum Tearing Computer_keyboard
0c4de54a.wav,Clarinet Violin_or_fiddle Flute
0c561099.wav,Trumpet Applause Saxophone
0c58f71a.wav,Clarinet Flute Saxophone
0c654cc0.wav,Trumpet Hi-hat Gunshot_or_gunfire
0c6ccd3a.wav,Trumpet Oboe Saxophone
0c7311f7.wav,Saxophone Flute Oboe
0c736a0f.wav,Trumpet Saxophone Squeak
0c7a124d.wav,Cello Clarinet Saxophone
0c7a8b1b.wav,Flute Clarinet Oboe
0c7c51fa.wav,Bass_drum Knock Gunshot_or_gunfire
0c8071a4.wav,Bass_drum Finger_snapping Computer_keyboard
0c80cb97.wav,Trumpet Oboe Saxophone
0c80f6dc.wav,Bass_drum Tearing Knock
0c91a6b2.wav,Glockenspiel Telephone Acoustic_guitar
0c9250b8.wav,Bass_drum Computer_keyboard Knock
0ca5bba6.wav,Hi-hat Shatter Fireworks
0cb0d029.wav,Telephone Fart Burping_or_eructation
0cb48b8e.wav,Flute Saxophone Trumpet
0cb5b4a8.wav,Bass_drum Knock Electric_piano
0cbe7e42.wav,Harmonica Applause Shatter
0cc0af58.wav,Cello Double_bass Drawer_open_or_close
0cd0ec27.wav,Gunshot_or_gunfire Knock Bass_drum
0cd0f2ef.wav,Telephone Chime Laughter
0ce09e4a.wav,Flute Saxophone Clarinet
0ce127f9.wav,Scissors Tearing Squeak
0ceaab13.wav,Bass_drum Knock Drawer_open_or_close
0ceb2140.wav,Shatter Cough Laughter
0cec29e8.wav,Flute Oboe Violin_or_fiddle
0cefa487.wav,Acoustic_guitar Electric_piano Double_bass
0cf2bcda.wav,Acoustic_guitar Electric_piano Double_bass
0cf319fa.wav,Saxophone Oboe Trumpet
0cf34718.wav,Clarinet Saxophone Flute
0cf34f6e.wav,Gunshot_or_gunfire Drawer_open_or_close Fireworks
0d056139.wav,Writing Computer_keyboard Burping_or_eructation
0d1bf5b4.wav,Cough Laughter Burping_or_eructation
0d20e8f7.wav,Computer_keyboard Knock Bass_drum
0d23dd3a.wav,Clarinet Gong Saxophone
0d242640.wav,Clarinet Flute Cello
0d2d13b7.wav,Hi-hat Gong Finger_snapping
0d34cc5a.wav,Gunshot_or_gunfire Snare_drum Fireworks
0d415918.wav,Shatter Tearing Scissors
0d449433.wav,Computer_keyboard Bass_drum Knock
0d4ca47e.wav,Violin_or_fiddle Glockenspiel Acoustic_guitar
0d5bb142.wav,Trumpet Gong Oboe
0d6e2584.wav,Cough Laughter Telephone
0d7549a4.wav,Clarinet Oboe Saxophone
0d7f7f76.wav,Acoustic_guitar Electric_piano Gong
0d89b6a4.wav,Clarinet Cello Flute
0d8d0cbd.wav,Gunshot_or_gunfire Tearing Fart
0d90d498.wav,Telephone Computer_keyboard Acoustic_guitar
0d950fc6.wav,Bass_drum Finger_snapping Tearing
0d976b22.wav,Bass_drum Knock Computer_keyboard
0d98574f.wav,Violin_or_fiddle Cello Saxophone
0d99cfde.wav,Trumpet Hi-hat Squeak
0d9de265.wav,Clarinet Flute Saxophone
0da2acf4.wav,Fart Fireworks Tearing
0da592f2.wav,Clarinet Flute Saxophone
0daa7a68.wav,Bass_drum Knock Drawer_open_or_close
0db0fb36.wav,Bus Computer_keyboard Drawer_open_or_close
0db21ee8.wav,Electric_piano Oboe Acoustic_guitar
0db35f79.wav,Bass_drum Knock Computer_keyboard
0db65bf4.wav,Clarinet Gong Oboe
0db6ac5f.wav,Trumpet Squeak Violin_or_fiddle
0dbb37b3.wav,Writing Acoustic_guitar Burping_or_eructation
0dc193fe.wav,Tearing Shatter Squeak
0dc7fd72.wav,Bass_drum Electric_piano Knock
0dd0e034.wav,Cello Violin_or_fiddle Saxophone
0dd68380.wav,Cough Violin_or_fiddle Squeak
0de4b9f0.wav,Acoustic_guitar Gong Electric_piano
0def8cc7.wav,Acoustic_guitar Electric_piano Double_bass
0df38dfd.wav,Cello Saxophone Double_bass
0e06ba41.wav,Laughter Writing Computer_keyboard
0e12c15c.wav,Bass_drum Computer_keyboard Knock
0e1bd033.wav,Applause Fireworks Bus
0e23a6f4.wav,Keys_jangling Tambourine Scissors
0e26ccc9.wav,Telephone Cough Writing
0e2d428f.wav,Flute Saxophone Cello
0e2ff60a.wav,Flute Harmonica Cello
0e373704.wav,Clarinet Flute Saxophone
0e398b30.wav,Oboe Clarinet Flute
0e3b99ce.wav,Finger_snapping Snare_drum Hi-hat
0e3cdc5d.wav,Double_bass Cello Gong
0e3d8062.wav,Scissors Snare_drum Writing
0e45be94.wav,Cello Saxophone Double_bass
0e468de3.wav,Bass_drum Finger_snapping Knock
0e507ea4.wav,Flute Saxophone Oboe
0e5184a9.wav,Acoustic_guitar Electric_piano Gong
0e551b02.wav,Acoustic_guitar Electric_piano Saxophone
0e596194.wav,Clarinet Flute Saxophone
0e596a0b.wav,Gunshot_or_gunfire Knock Microwave_oven
0e5a2f7e.wav,Bass_drum Finger_snapping Knock
0e5e9be8.wav,Double_bass Acoustic_guitar Electric_piano
0e666b44.wav,Gong Double_bass Cello
0e6a2b2e.wav,Cough Laughter Squeak
0e70bdaa.wav,Flute Saxophone Meow
0e722a03.wav,Bass_drum Knock Computer_keyboard
0e7aea38.wav,Gong Glockenspiel Acoustic_guitar
0e7d6e2d.wav,Cello Flute Saxophone
0e7e36b2.wav,Bass_drum Finger_snapping Computer_keyboard
0e889160.wav,Bass_drum Computer_keyboard Tearing
0e8ccc81.wav,Cello Saxophone Double_bass
0e95fbb5.wav,Cello Violin_or_fiddle Saxophone
0e9c6c50.wav,Laughter Telephone Chime
